Serial,Type,Datetime,Data,Outlier_Flag
01749,real_time_data,2022-01-01 01:35:00,"{""datetime"": ""2022-01-01 01:35:00"", ""laeq"": 59.62, ""lafmax"": 59.95, ""la10"": 59.69, ""la90"": 59.56, ""la95"": 59.54, ""lceq"": 66.57, ""lcfmax"": 66.85, ""lc10"": 66.65, ""lc90"": 66.51, ""lc95"": 66.48}",No
01749,real_time_data,2022-01-01 01:40:00,"{""datetime"": ""2022-01-01 01:40:00"", ""laeq"": 59.63, ""lafmax"": 59.86, ""la10"": 59.67, ""la90"": 59.57, ""la95"": 59.56, ""lceq"": 66.57, ""lcfmax"": 66.77, ""lc10"": 66.6, ""lc90"": 66.52, ""lc95"": 66.51}",No
01749,real_time_data,2022-01-01 01:45:00,"{""datetime"": ""2022-01-01 01:45:00"", ""laeq"": 59.65, ""lafmax"": 59.93, ""la10"": 59.73, ""la90"": 59.51, ""la95"": 59.47, ""lceq"": 66.59, ""lcfmax"": 66.82, ""lc10"": 66.65, ""lc90"": 66.53, ""lc95"": 66.5}",No
01749,real_time_data,2022-01-01 01:50:00,"{""datetime"": ""2022-01-01 01:50:00"", ""laeq"": 59.67, ""lafmax"": 59.93, ""la10"": 59.71, ""la90"": 59.62, ""la95"": 59.61, ""lceq"": 66.64, ""lcfmax"": 66.83, ""lc10"": 66.68, ""lc90"": 66.6, ""lc95"": 66.59}",No
01749,real_time_data,2022-01-01 01:55:00,"{""datetime"": ""2022-01-01 01:55:00"", ""laeq"": 59.61, ""lafmax"": 59.88, ""la10"": 59.69, ""la90"": 59.45, ""la95"": 59.41, ""lceq"": 66.67, ""lcfmax"": 66.85, ""lc10"": 66.7, ""lc90"": 66.62, ""lc95"": 66.6}",No
01749,real_time_data,2022-01-01 02:00:00,"{""datetime"": ""2022-01-01 02:00:00"", ""laeq"": 59.67, ""lafmax"": 59.95, ""la10"": 59.71, ""la90"": 59.62, ""la95"": 59.6, ""lceq"": 66.73, ""lcfmax"": 66.97, ""lc10"": 66.77, ""lc90"": 66.67, ""lc95"": 66.66}",No
01749,real_time_data,2022-01-01 02:05:00,"{""datetime"": ""2022-01-01 02:05:00"", ""laeq"": 59.64, ""lafmax"": 59.93, ""la10"": 59.72, ""la90"": 59.54, ""la95"": 59.51, ""lceq"": 66.75, ""lcfmax"": 67.02, ""lc10"": 66.82, ""lc90"": 66.7, ""lc95"": 66.58}",No
01749,real_time_data,2022-01-01 02:10:00,"{""datetime"": ""2022-01-01 02:10:00"", ""laeq"": 59.72, ""lafmax"": 59.95, ""la10"": 59.77, ""la90"": 59.67, ""la95"": 59.64, ""lceq"": 66.86, ""lcfmax"": 67.07, ""lc10"": 66.92, ""lc90"": 66.81, ""lc95"": 66.77}",No
01749,real_time_data,2022-01-01 02:15:00,"{""datetime"": ""2022-01-01 02:15:00"", ""laeq"": 59.75, ""lafmax"": 59.99, ""la10"": 59.8, ""la90"": 59.69, ""la95"": 59.68, ""lceq"": 66.96, ""lcfmax"": 67.12, ""lc10"": 67, ""lc90"": 66.9, ""lc95"": 66.87}",No
01749,real_time_data,2022-01-01 02:20:00,"{""datetime"": ""2022-01-01 02:20:00"", ""laeq"": 59.71, ""lafmax"": 60.2, ""la10"": 59.77, ""la90"": 59.65, ""la95"": 59.57, ""lceq"": 66.99, ""lcfmax"": 67.23, ""lc10"": 67.07, ""lc90"": 66.92, ""lc95"": 66.83}",No
01749,real_time_data,2022-01-01 02:25:00,"{""datetime"": ""2022-01-01 02:25:00"", ""laeq"": 59.69, ""lafmax"": 59.93, ""la10"": 59.75, ""la90"": 59.58, ""la95"": 59.56, ""lceq"": 67.13, ""lcfmax"": 67.32, ""lc10"": 67.2, ""lc90"": 67.05, ""lc95"": 67.03}",No
01749,real_time_data,2022-01-01 02:30:00,"{""datetime"": ""2022-01-01 02:30:00"", ""laeq"": 59.65, ""lafmax"": 59.9, ""la10"": 59.73, ""la90"": 59.5, ""la95"": 59.47, ""lceq"": 67.19, ""lcfmax"": 67.36, ""lc10"": 67.24, ""lc90"": 67.12, ""lc95"": 67.09}",No
01749,real_time_data,2022-01-01 02:35:00,"{""datetime"": ""2022-01-01 02:35:00"", ""laeq"": 59.72, ""lafmax"": 59.95, ""la10"": 59.76, ""la90"": 59.65, ""la95"": 59.64, ""lceq"": 67.42, ""lcfmax"": 67.69, ""lc10"": 67.55, ""lc90"": 67.27, ""lc95"": 67.24}",No
01749,real_time_data,2022-01-01 02:40:00,"{""datetime"": ""2022-01-01 02:40:00"", ""laeq"": 59.62, ""lafmax"": 59.86, ""la10"": 59.66, ""la90"": 59.57, ""la95"": 59.53, ""lceq"": 67.38, ""lcfmax"": 67.58, ""lc10"": 67.43, ""lc90"": 67.32, ""lc95"": 67.27}",No
01749,real_time_data,2022-01-01 02:45:00,"{""datetime"": ""2022-01-01 02:45:00"", ""laeq"": 59.46, ""lafmax"": 59.84, ""la10"": 59.66, ""la90"": 59.28, ""la95"": 59.11, ""lceq"": 67.41, ""lcfmax"": 67.72, ""lc10"": 67.56, ""lc90"": 67.13, ""lc95"": 66.93}",No
01749,real_time_data,2022-01-01 02:50:00,"{""datetime"": ""2022-01-01 02:50:00"", ""laeq"": 59.31, ""lafmax"": 59.7, ""la10"": 59.41, ""la90"": 59.17, ""la95"": 59.08, ""lceq"": 67.55, ""lcfmax"": 67.91, ""lc10"": 67.71, ""lc90"": 67.36, ""lc95"": 67.09}",No
01749,real_time_data,2022-01-01 02:55:00,"{""datetime"": ""2022-01-01 02:55:00"", ""laeq"": 59.35, ""lafmax"": 59.58, ""la10"": 59.41, ""la90"": 59.29, ""la95"": 59.26, ""lceq"": 67.56, ""lcfmax"": 67.76, ""lc10"": 67.63, ""lc90"": 67.49, ""lc95"": 67.39}",No
01749,real_time_data,2022-01-01 03:00:00,"{""datetime"": ""2022-01-01 03:00:00"", ""laeq"": 59.24, ""lafmax"": 59.58, ""la10"": 59.35, ""la90"": 59.09, ""la95"": 58.92, ""lceq"": 67.69, ""lcfmax"": 68.22, ""lc10"": 67.88, ""lc90"": 67.4, ""lc95"": 67.19}",No
01749,real_time_data,2022-01-01 03:05:00,"{""datetime"": ""2022-01-01 03:05:00"", ""laeq"": 59.13, ""lafmax"": 59.52, ""la10"": 59.27, ""la90"": 58.89, ""la95"": 58.82, ""lceq"": 67.89, ""lcfmax"": 68.37, ""lc10"": 68.08, ""lc90"": 67.57, ""lc95"": 67.37}",No
01749,real_time_data,2022-01-01 03:10:00,"{""datetime"": ""2022-01-01 03:10:00"", ""laeq"": 59.06, ""lafmax"": 59.44, ""la10"": 59.19, ""la90"": 58.77, ""la95"": 58.6, ""lceq"": 68, ""lcfmax"": 68.35, ""lc10"": 68.21, ""lc90"": 67.49, ""lc95"": 67.18}",No
01749,real_time_data,2022-01-01 03:15:00,"{""datetime"": ""2022-01-01 03:15:00"", ""laeq"": 58.89, ""lafmax"": 59.28, ""la10"": 59.08, ""la90"": 58.5, ""la95"": 58.34, ""lceq"": 67.95, ""lcfmax"": 68.48, ""lc10"": 68.31, ""lc90"": 67.19, ""lc95"": 66.86}",No
01749,real_time_data,2022-01-01 03:20:00,"{""datetime"": ""2022-01-01 03:20:00"", ""laeq"": 58.79, ""lafmax"": 59.24, ""la10"": 58.98, ""la90"": 58.49, ""la95"": 58.32, ""lceq"": 67.87, ""lcfmax"": 68.34, ""lc10"": 68.14, ""lc90"": 67.21, ""lc95"": 66.89}",No
01749,real_time_data,2022-01-01 03:25:00,"{""datetime"": ""2022-01-01 03:25:00"", ""laeq"": 58.94, ""lafmax"": 59.28, ""la10"": 59.08, ""la90"": 58.65, ""la95"": 58.51, ""lceq"": 67.88, ""lcfmax"": 68.26, ""lc10"": 68.1, ""lc90"": 67.29, ""lc95"": 66.96}",No
01749,real_time_data,2022-01-01 03:30:00,"{""datetime"": ""2022-01-01 03:30:00"", ""laeq"": 58.87, ""lafmax"": 59.26, ""la10"": 59.02, ""la90"": 58.53, ""la95"": 58.36, ""lceq"": 67.75, ""lcfmax"": 68.31, ""lc10"": 68.08, ""lc90"": 67.07, ""lc95"": 66.77}",No
01749,real_time_data,2022-01-01 03:35:00,"{""datetime"": ""2022-01-01 03:35:00"", ""laeq"": 58.74, ""lafmax"": 59.34, ""la10"": 58.98, ""la90"": 58.28, ""la95"": 58.22, ""lceq"": 67.69, ""lcfmax"": 68.18, ""lc10"": 68.02, ""lc90"": 66.9, ""lc95"": 66.65}",No
01749,real_time_data,2022-01-01 03:40:00,"{""datetime"": ""2022-01-01 03:40:00"", ""laeq"": 58.79, ""lafmax"": 59.19, ""la10"": 58.98, ""la90"": 58.45, ""la95"": 58.29, ""lceq"": 67.78, ""lcfmax"": 68.24, ""lc10"": 68.08, ""lc90"": 67.1, ""lc95"": 66.78}",No
01749,real_time_data,2022-01-01 03:45:00,"{""datetime"": ""2022-01-01 03:45:00"", ""laeq"": 58.76, ""lafmax"": 59.09, ""la10"": 58.9, ""la90"": 58.49, ""la95"": 58.4, ""lceq"": 67.85, ""lcfmax"": 68.21, ""lc10"": 68.02, ""lc90"": 67.44, ""lc95"": 67.23}",No
01749,real_time_data,2022-01-01 03:50:00,"{""datetime"": ""2022-01-01 03:50:00"", ""laeq"": 58.72, ""lafmax"": 59.07, ""la10"": 58.89, ""la90"": 58.25, ""la95"": 58.1, ""lceq"": 67.74, ""lcfmax"": 68.15, ""lc10"": 67.99, ""lc90"": 66.92, ""lc95"": 66.57}",No
01749,real_time_data,2022-01-01 03:55:00,"{""datetime"": ""2022-01-01 03:55:00"", ""laeq"": 58.79, ""lafmax"": 59.11, ""la10"": 58.93, ""la90"": 58.55, ""la95"": 58.42, ""lceq"": 67.8, ""lcfmax"": 68.12, ""lc10"": 67.96, ""lc90"": 67.4, ""lc95"": 67.02}",No
01749,real_time_data,2022-01-01 04:00:00,"{""datetime"": ""2022-01-01 04:00:00"", ""laeq"": 58.69, ""lafmax"": 59.15, ""la10"": 58.94, ""la90"": 58.29, ""la95"": 58.19, ""lceq"": 67.6, ""lcfmax"": 68.12, ""lc10"": 67.95, ""lc90"": 66.87, ""lc95"": 66.69}",No
01749,real_time_data,2022-01-01 04:05:00,"{""datetime"": ""2022-01-01 04:05:00"", ""laeq"": 58.71, ""lafmax"": 59.09, ""la10"": 58.9, ""la90"": 58.34, ""la95"": 58.16, ""lceq"": 67.63, ""lcfmax"": 68.12, ""lc10"": 67.96, ""lc90"": 66.93, ""lc95"": 66.61}",No
01749,real_time_data,2022-01-01 04:10:00,"{""datetime"": ""2022-01-01 04:10:00"", ""laeq"": 58.69, ""lafmax"": 59.09, ""la10"": 58.9, ""la90"": 58.27, ""la95"": 58.14, ""lceq"": 67.7, ""lcfmax"": 68.1, ""lc10"": 67.96, ""lc90"": 67.07, ""lc95"": 66.74}",No
01749,real_time_data,2022-01-01 04:15:00,"{""datetime"": ""2022-01-01 04:15:00"", ""laeq"": 58.83, ""lafmax"": 59.09, ""la10"": 58.91, ""la90"": 58.73, ""la95"": 58.64, ""lceq"": 67.88, ""lcfmax"": 68.11, ""lc10"": 67.98, ""lc90"": 67.73, ""lc95"": 67.58}",No
01749,real_time_data,2022-01-01 04:20:00,"{""datetime"": ""2022-01-01 04:20:00"", ""laeq"": 58.74, ""lafmax"": 59.03, ""la10"": 58.84, ""la90"": 58.57, ""la95"": 58.47, ""lceq"": 67.9, ""lcfmax"": 68.12, ""lc10"": 67.99, ""lc90"": 67.76, ""lc95"": 67.67}",No
